model,batch_size,time_ms,mem_mb
sasrec,1,1.9721,48.6
sasrec,2,1.9915,51.4
sasrec,4,1.9741,56.0
sasrec,8,1.9888,66.3
sasrec,16,2.0962,85.7
sasrec,32,3.5947,125.2
sasrec,64,6.6447,205.2
sasrec,128,12.7883,367.4
sasrec,256,24.483,679.0
sasrec,512,48.2088,1311.9
sasrec,1024,96.4839,2578.7
sasrec_baseline,1,1.0436,45.5
sasrec_baseline,2,1.0509,48.3
sasrec_baseline,4,1.0438,52.9
sasrec_baseline,8,1.0576,64.3
sasrec_baseline,16,1.2635,83.6
sasrec_baseline,32,2.1575,122.1
sasrec_baseline,64,3.9652,202.1
sasrec_baseline,128,7.5297,362.2
sasrec_baseline,256,14.3114,675.9
sasrec_baseline,512,28.2666,1308.8
sasrec_baseline,1024,56.5067,2575.6
nextitnet,1,2.8684,30.6
nextitnet,2,2.8431,31.2
nextitnet,4,2.8607,32.5
nextitnet,8,2.8554,36.8
nextitnet,16,2.815,43.6
nextitnet,32,2.8642,52.6
nextitnet,64,3.2995,75.6
nextitnet,128,6.6411,124.8
nextitnet,256,13.3177,214.9
nextitnet,512,25.7222,398.2
nextitnet,1024,51.13,766.8
fmlp,1,1.3403,26.9
fmlp,2,1.4006,27.9
fmlp,4,1.3919,30.0
fmlp,8,1.3894,34.1
fmlp,16,1.3935,43.3
fmlp,32,1.4126,58.9
fmlp,64,2.2312,91.9
fmlp,128,4.3008,159.2
fmlp,256,8.7216,293.6
fmlp,512,17.0866,554.2
fmlp,1024,32.8427,1082.6
linear_attn,1,2.2595,33.4
linear_attn,2,2.2628,41.2
linear_attn,4,2.2579,56.8
linear_attn,8,2.2598,90.1
linear_attn,16,2.2526,151.3
linear_attn,32,3.0753,274.9
linear_attn,64,5.4197,525.2
linear_attn,128,9.9788,1024.6
linear_attn,256,19.5055,2021.5
linear_attn,512,38.0822,4013.2
linear_attn,1024,75.4043,8000.8
fnet_hybrid,1,1.9889,27.1
fnet_hybrid,2,2.0239,28.4
fnet_hybrid,4,2.0123,30.9
fnet_hybrid,8,2.012,35.8
fnet_hybrid,16,2.0168,47.2
fnet_hybrid,32,2.0335,65.6
fnet_hybrid,64,3.1972,105.1
fnet_hybrid,128,6.0406,186.6
fnet_hybrid,256,12.0352,348.3
fnet_hybrid,512,23.3139,659.2
fnet_hybrid,1024,45.4233,1292.6
causal_fftconv,1,1.2299,47.2
causal_fftconv,2,1.2378,50.6
causal_fftconv,4,1.2279,56.3
causal_fftconv,8,1.249,69.3
causal_fftconv,16,1.3507,92.8
causal_fftconv,32,2.4704,141.5
causal_fftconv,64,4.683,238.8
causal_fftconv,128,9.0251,433.4
causal_fftconv,256,17.3873,822.6
causal_fftconv,512,34.4772,1605.3
causal_fftconv,1024,68.9843,3158.0
