model,seq_len,batch_size,time_ms,mem_mb
sasrec,32,8192,116.7721,3286.3
sasrec,64,4096,112.2453,3286.4
sasrec,128,2048,115.2542,3286.4
sasrec,256,1024,122.8901,3286.5
sasrec,512,512,139.2899,3286.7
sasrec,1024,256,173.112,3540.9
sasrec,2048,128,248.2947,5158.6
sasrec,4096,64,402.6627,8406.5
sasrec,8192,32,870.3658,14952.8
sasrec_baseline,32,8192,106.885,3283.2
sasrec_baseline,64,4096,96.7355,3283.2
sasrec_baseline,128,2048,91.3978,3283.3
sasrec_baseline,256,1024,94.7951,3283.4
sasrec_baseline,512,512,105.9396,3283.7
sasrec_baseline,1024,256,139.2074,3284.2
sasrec_baseline,2048,128,181.9648,4619.1
sasrec_baseline,4096,64,308.2379,7867.6
sasrec_baseline,8192,32,605.2679,14415.0
nextitnet,32,8192,93.4003,1105.8
nextitnet,64,4096,94.7973,973.3
nextitnet,128,2048,100.7231,973.3
nextitnet,256,1024,100.8109,973.3
nextitnet,512,512,97.5039,973.3
nextitnet,1024,256,94.441,973.3
nextitnet,2048,128,94.2493,973.3
nextitnet,4096,64,92.2841,973.3
nextitnet,8192,32,92.4998,973.3
fmlp,32,8192,61.7651,1378.1
fmlp,64,4096,61.7572,1378.2
fmlp,128,2048,61.9547,1378.3
fmlp,256,1024,64.5845,1378.6
fmlp,512,512,70.5478,1379.3
fmlp,1024,256,67.9001,1380.6
fmlp,2048,128,69.0822,1384.3
fmlp,4096,64,71.0896,1388.5
fmlp,8192,32,69.2072,1399.0
linear_attn,32,8192,152.5018,10233.7
linear_attn,64,4096,149.2158,10233.8
linear_attn,128,2048,142.0618,10233.8
linear_attn,256,1024,134.91,10233.8
linear_attn,512,512,129.5413,10233.9
linear_attn,1024,256,117.7937,10234.1
linear_attn,2048,128,111.1878,10234.5
linear_attn,4096,64,115.2274,10235.3
linear_attn,8192,32,126.0628,10236.9
fnet_hybrid,32,8192,75.7677,1647.2
fnet_hybrid,64,4096,75.1851,1647.2
fnet_hybrid,128,2048,87.1131,1647.2
fnet_hybrid,256,1024,91.2202,1647.3
fnet_hybrid,512,512,121.479,1773.7
fnet_hybrid,1024,256,154.6464,2580.7
fnet_hybrid,2048,128,206.0937,4197.9
fnet_hybrid,4096,64,329.7942,7444.8
fnet_hybrid,8192,32,580.5331,13989.0
causal_fftconv,32,8192,144.9962,3333.4
causal_fftconv,64,4096,135.0991,3300.1
causal_fftconv,128,2048,122.6634,3283.7
causal_fftconv,256,1024,121.1838,3276.1
causal_fftconv,512,512,112.9797,3278.0
causal_fftconv,1024,256,104.9219,3274.5
causal_fftconv,2048,128,103.8181,3279.8
causal_fftconv,4096,64,104.0411,3291.9
causal_fftconv,8192,32,105.644,3316.8
