userId,n_ratings,n_sessions,n_multi_sessions,max_session_size,mean_session_size,frac_in_multi
1,175,2,2,129,87.5,1.0
2,61,1,1,61,61.0,1.0
3,187,3,3,107,62.333,1.0
4,28,1,1,28,28.0,1.0
5,66,2,2,53,33.0,1.0
6,24,1,1,24,24.0,1.0
7,276,1,1,276,276.0,1.0
8,70,4,4,48,17.5,1.0
9,35,1,1,35,35.0,1.0
10,38,1,1,38,38.0,1.0
11,504,9,8,277,56.0,0.998
12,36,1,1,36,36.0,1.0
13,62,1,1,62,62.0,1.0
14,243,2,2,200,121.5,1.0
15,49,1,1,49,49.0,1.0
16,60,1,1,60,60.0,1.0
17,26,8,2,10,3.25,0.7692
18,121,20,11,48,6.05,0.9256
19,50,1,1,50,50.0,1.0
20,28,1,1,28,28.0,1.0
21,163,1,1,163,163.0,1.0
22,133,1,1,133,133.0,1.0
23,102,1,1,102,102.0,1.0
24,506,13,13,136,38.923,1.0
25,121,1,1,121,121.0,1.0
26,61,1,1,61,61.0,1.0
27,69,1,1,69,69.0,1.0
28,32,1,1,32,32.0,1.0
29,177,2,2,96,88.5,1.0
30,31,1,1,31,31.0,1.0
31,246,3,2,241,82.0,0.9959
32,73,1,1,73,73.0,1.0
33,50,1,1,50,50.0,1.0
34,93,12,8,37,7.75,0.957
35,195,3,3,97,65.0,1.0
36,20,1,1,20,20.0,1.0
37,20,1,1,20,20.0,1.0
38,74,2,2,47,37.0,1.0
39,20,1,1,20,20.0,1.0
40,73,10,7,20,7.3,0.9589
41,59,2,2,57,29.5,1.0
42,51,1,1,51,51.0,1.0
43,87,2,2,45,43.5,1.0
44,33,1,1,33,33.0,1.0
45,44,1,1,44,44.0,1.0
46,122,2,2,117,61.0,1.0
47,50,2,2,34,25.0,1.0
48,99,3,2,79,33.0,0.9899
49,30,1,1,30,30.0,1.0
50,99,3,3,58,33.0,1.0
51,102,4,3,93,25.5,0.9902
52,20,1,1,20,20.0,1.0
53,206,1,1,206,206.0,1.0
54,710,4,4,388,177.5,1.0
55,30,1,1,30,30.0,1.0
56,179,6,6,81,29.833,1.0
57,24,1,1,24,24.0,1.0
58,657,6,6,367,109.5,1.0
59,25,1,1,25,25.0,1.0
60,72,3,3,67,24.0,1.0
61,194,5,4,77,38.8,0.9948
62,27,1,1,27,27.0,1.0
63,49,1,1,49,49.0,1.0
64,32,1,1,32,32.0,1.0
65,78,4,3,43,19.5,0.9872
66,52,2,2,49,26.0,1.0
67,66,1,1,66,66.0,1.0
68,32,1,1,32,32.0,1.0
69,273,3,2,267,91.0,0.9963
70,116,1,1,116,116.0,1.0
71,45,1,1,45,45.0,1.0
72,84,1,1,84,84.0,1.0
73,187,1,1,187,187.0,1.0
74,67,2,2,62,33.5,1.0
75,47,2,2,45,23.5,1.0
76,49,1,1,49,49.0,1.0
77,100,2,2,56,50.0,1.0
78,56,1,1,56,56.0,1.0
79,25,1,1,25,25.0,1.0
80,25,1,1,25,25.0,1.0
81,23,1,1,23,23.0,1.0
82,269,24,7,222,11.208,0.9368
83,37,1,1,37,37.0,1.0
84,36,1,1,36,36.0,1.0
85,69,1,1,69,69.0,1.0
86,39,1,1,39,39.0,1.0
87,35,1,1,35,35.0,1.0
88,163,2,2,86,81.5,1.0
89,121,2,2,86,60.5,1.0
90,127,2,2,83,63.5,1.0
91,666,14,14,117,47.571,1.0
92,32,3,3,19,10.667,1.0
93,55,2,2,53,27.5,1.0
94,26,1,1,26,26.0,1.0
95,25,1,1,25,25.0,1.0
96,449,63,29,102,7.127,0.9243
97,39,1,1,39,39.0,1.0
98,80,2,1,79,40.0,0.9875
99,56,1,1,56,56.0,1.0
100,52,6,2,43,8.667,0.9231
101,123,1,1,123,123.0,1.0
102,89,2,2,72,44.5,1.0
103,141,4,4,123,35.25,1.0
104,998,2,2,844,499.0,1.0
105,26,1,1,26,26.0,1.0
106,33,1,1,33,33.0,1.0
107,53,7,3,39,7.571,0.9245
108,90,2,2,80,45.0,1.0
109,166,3,3,103,55.333,1.0
110,64,1,1,64,64.0,1.0
111,23,1,1,23,23.0,1.0
112,110,1,1,110,110.0,1.0
113,28,1,1,28,28.0,1.0
114,67,1,1,67,67.0,1.0
115,62,1,1,62,62.0,1.0
116,1110,8,8,241,138.75,1.0
117,62,1,1,62,62.0,1.0
118,32,2,2,27,16.0,1.0
119,30,1,1,30,30.0,1.0
120,48,1,1,48,48.0,1.0
121,92,5,4,83,18.4,0.9891
122,65,1,1,65,65.0,1.0
123,22,1,1,22,22.0,1.0
124,295,1,1,295,295.0,1.0
125,66,2,2,51,33.0,1.0
126,32,1,1,32,32.0,1.0
127,69,1,1,69,69.0,1.0
128,57,1,1,57,57.0,1.0
129,287,53,22,78,5.415,0.892
130,260,17,13,82,15.294,0.9846
131,431,16,11,105,26.938,0.9884
132,335,11,11,110,30.455,1.0
133,351,10,8,171,35.1,0.9943
134,585,17,13,259,34.412,0.9932
135,153,4,4,95,38.25,1.0
136,96,2,2,81,48.0,1.0
137,380,7,7,216,54.286,1.0
138,82,1,1,82,82.0,1.0
139,30,1,1,30,30.0,1.0
140,255,29,14,81,8.793,0.9412
141,60,1,1,60,60.0,1.0
142,64,1,1,64,64.0,1.0
143,40,1,1,40,40.0,1.0
144,127,8,7,37,15.875,0.9921
145,28,1,1,28,28.0,1.0
146,22,1,1,22,22.0,1.0
147,312,1,1,312,312.0,1.0
148,128,1,1,128,128.0,1.0
149,29,2,2,23,14.5,1.0
150,26,1,1,26,26.0,1.0
151,55,1,1,55,55.0,1.0
152,154,1,1,154,154.0,1.0
153,128,3,3,64,42.667,1.0
154,211,11,9,65,19.182,0.9905
